OBJNAME,RA,DEC,Z,constellation
CGCG 062-031,141.30879166666662,12.156083333333333,2.888e-02,Leo
CGCG 121-092,141.61779166666665,22.086055555555554,2.593e-02,Leo
CGCG 210-009,141.78074999999998,42.571472222222226,2.768e-02,Ursa Major
UGC 05033,142.04762499999998,64.93405555555556,1.735e-02,Ursa Major
CGCG 151-081,141.78362499999997,29.402305555555554,2.582e-02,Leo
UGC 05037 NOTES01,141.78166666666664,22.986777777777778,2.056e-02,Leo
IC 2474,141.79754166666663,23.03427777777778,2.927e-02,Leo
KUG 0924+487,141.96962499999995,48.52333333333333,2.749e-02,Ursa Major
KUG 0924+487B,142.07191666666665,48.51605555555555,1.575e-02,Ursa Major
UGC 05045,142.0418333333333,44.66475,2.557e-02,Ursa Major
IC 2479,142.01704166666664,29.991444444444447,2.767e-02,Leo
NGC 2880,142.39399999999998,62.49055555555556,5.184e-03,Ursa Major
CGCG 312-012,142.40774999999996,62.54402777777778,2.563e-02,Ursa Major
KUG 0926+446,142.38379166666664,44.42425,2.546e-02,Ursa Major
UGC 05055,142.5489583333333,55.85241666666667,2.514e-02,Ursa Major
UGC 05058,142.842625,67.78183333333334,2.125e-02,Ursa Major
CGCG 152-019,142.5795,30.44475,2.449e-02,Leo
UGC 05061,142.89254166666666,67.62483333333333,2.183e-02,Ursa Major
VIII Zw 048,142.51774999999998,8.78288888888889,2.118e-02,Leo
NGC 2895,143.10437499999998,57.482888888888894,2.938e-02,Ursa Major
CGCG 181-052,143.02312499999996,35.53861111111111,2.694e-02,Leo Minor
KUG 0929+490,143.18445833333334,48.796388888888885,2.639e-02,Ursa Major
CGCG 063-002,143.0683333333333,12.093916666666667,1.975e-02,Leo
IC 2490,143.2652083333333,29.928361111111112,2.445e-02,Leo
VV 553,143.31833333333333,23.134888888888888,2.559e-02,Leo
UGC 05090,143.46712499999998,46.86366666666667,2.685e-02,Ursa Major
KUG 0930+338,143.4295,33.60011111111111,5.223e-03,Leo Minor
UGC 05089,143.4245,39.98408333333333,1.444e-02,Lynx
MCG +08-18-008,143.64612499999998,46.42761111111111,2.670e-02,Ursa Major
MCG +08-18-009,143.63154166666666,46.46158333333334,2.649e-02,Ursa Major
UGC 05100,143.66099999999997,5.841444444444444,1.828e-02,Hydra
IC 2491,143.80925,34.73166666666667,2.725e-02,Leo Minor
UGC 05105,143.83341666666666,35.913666666666664,5.297e-03,Leo Minor
UGC 05108,143.85954166666664,29.81261111111111,2.714e-02,Leo
IC 0544,143.97241666666667,24.894861111111112,2.517e-02,Leo
CGCG 289-013,144.205875,57.992111111111114,2.951e-02,Ursa Major
UGC 05116,144.02908333333332,3.0116944444444442,1.864e-02,Hydra
CGCG 092-009,144.05962499999998,17.48477777777778,2.851e-02,Leo
CGCG 122-028,144.080625,23.747944444444446,2.175e-02,Leo
MCG +11-12-018,144.47329166666665,66.87899999999999,2.264e-02,Ursa Major
CGCG 063-016,144.10729166666664,11.325111111111111,2.888e-02,Leo
CGCG 063-017,144.20833333333331,11.751027777777777,2.873e-02,Leo
KUG 0934+354A,144.356875,35.24008333333333,2.088e-02,Leo Minor
UGC 05123,144.28854166666667,19.83597222222222,2.825e-02,Leo
CGCG 181-070,144.38045833333334,35.590833333333336,2.228e-02,Leo Minor
NGC 2929,144.37420833333334,23.161666666666665,2.502e-02,Leo
CGCG 092-012,144.37924999999998,19.589388888888887,1.474e-02,Leo
ARK 207,144.55795833333332,48.388305555555554,2.579e-02,Ursa Major
CGCG 152-040,144.50087499999998,29.944055555555554,2.708e-02,Leo
IC 0548,144.58041666666662,9.445972222222222,1.869e-02,Leo
NGC 2943,144.63695833333333,17.031305555555555,2.804e-02,Leo
CGCG 063-027,144.72270833333332,9.750055555555555,1.887e-02,Leo
CGCG 181-077,144.82191666666665,36.562194444444444,1.997e-02,Leo Minor
NGC 2946,144.7565833333333,17.025333333333332,2.989e-02,Leo
CGCG 035-025,144.89691666666667,6.414416666666667,2.491e-02,Hydra
CGCG 122-044,144.9874583333333,24.955444444444442,1.954e-02,Leo
KUG 0937+318,145.0608333333333,31.66661111111111,2.225e-02,Leo
